[2025-10-09 10:09:41] ❌ FAILED login | Email:harsha@gmail.com | IP: 127.0.0.1
[2025-10-09 10:17:25] ❌ FAILED login | Email: kumar@gmail.com | IP: 127.0.0.1
[2025-10-09 10:23:12] SUCCESS: SUCCESS login | User: admin@example.com | IP: 127.0.0.1
[2025-10-09 10:23:37] ❌ FAILED login | Email: jaisai@gmail.com | IP: 127.0.0.1
[2025-10-09 10:27:49] ❌ FAILED login | Email: admin@example.com | IP: 127.0.0.1
[2025-10-09 10:28:05] ❌ FAILED login | Email: jafar@gmail.com | IP: 127.0.0.1
[2025-10-09 10:28:54] ❌ FAILED login | Email: musthafa@gmail.com | IP: 127.0.0.1
[2025-10-09 10:31:38] ❌ FAILED login | Email: harsha@gmail.com | IP: 127.0.0.1
[2025-10-09 10:36:35] ❌ FAILED login | Email: harsha@gmail.com | IP: 127.0.0.1
[2025-10-09 11:00:12] ❌ FAILED login | Email: user25@gmail.com | IP: 127.0.0.1
[2025-10-09 11:22:24] ❌ FAILED login | Email: user25@gmail.com | IP: 127.0.0.1
[2025-10-09 11:22:31] ❌ FAILED login | Email: user25@gmail.com | IP: 127.0.0.1
[2025-10-09 11:35:54] ❌ FAILED login | Email: user8@gmail.com | IP: 127.0.0.1
[2025-10-10 06:02:16] CSRF token invalid for email: admin@example.com | IP: 127.0.0.1
